# mass number (A) = 40
# number of protons (Z) = 18
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
4.02	3.26620352534e-21	7.89316003767e-22	4.05551952911e-21
4.04	1.82984825543e-21	4.3877612177e-22	2.2686243772e-21
4.06	1.02195524652e-21	2.431555866e-22	1.26511083312e-21
4.08	5.68976126386e-22	1.34330652776e-22	7.03306779162e-22
4.1	3.15792614209e-22	7.39802874541e-23	3.89772901663e-22
4.12	1.74725397579e-22	4.0616951459e-23	2.15342349038e-22
4.14	9.63732784603e-23	2.22305113163e-23	1.18603789777e-22
4.16	5.29912462635e-23	1.21294969817e-23	6.51207432453e-23
4.18	2.90468412354e-23	6.59762652372e-24	3.56444677592e-23
4.2	1.58723537355e-23	3.57754119656e-24	1.9449894932e-23
4.22	8.64632917103e-24	1.93389956071e-24	1.05802287317e-23
4.24	4.69537804607e-24	1.04216362783e-24	5.7375416739e-24
4.26	2.54189781259e-24	5.59874903478e-25	3.10177271607e-24
4.28	1.37181226967e-24	2.99846884715e-25	1.67165915439e-24
4.3	7.38041355465e-25	1.60089146327e-25	8.98130501792e-25
4.32	3.95837079774e-25	8.52076120123e-26	4.81044691786e-25
4.34	2.11642240064e-25	4.5211550681e-26	2.56853790745e-25
4.36	1.12807677572e-25	2.39152682082e-26	1.3672294578e-25
4.38	5.99412410029e-26	1.2611196401e-26	7.25524374039e-26
4.4	3.17514739988e-26	6.62968409648e-27	3.83811580953e-26
4.42	1.67669266342e-26	3.47444322796e-27	2.02413698622e-26
4.44	8.82662684523e-27	1.81523880394e-27	1.06418656492e-26
4.46	4.63220866106e-27	9.45450496836e-28	5.57765915789e-27
4.48	2.42344862669e-27	4.90908573348e-28	2.91435720004e-27
4.5	1.2639566668e-27	2.54108705613e-28	1.51806537241e-27
4.52	6.57178761824e-28	1.31128134237e-28	7.8830689606e-28
4.54	3.40634100868e-28	6.74574519004e-29	4.08091552769e-28
4.56	1.76013626807e-28	3.45956897213e-29	2.10609316528e-28
4.58	9.06688943898e-29	1.76877405394e-29	1.08356634929e-28
4.6	4.65612357679e-29	9.01532358383e-30	5.55765593518e-29
4.62	2.38366441973e-29	4.58088259115e-30	2.84175267885e-29
4.64	1.21652335542e-29	2.32047111317e-30	1.44857046674e-29
4.66	6.18943192857e-30	1.17182461112e-30	7.3612565397e-30
4.68	3.13932595876e-30	5.89941274668e-31	3.72926723342e-30
4.7	1.5873678749e-30	2.96084000558e-31	1.88345187545e-30
4.72	8.00155859128e-31	1.48143075765e-31	9.48298934893e-31
