# mass number (A) = 208
# number of protons (Z) = 82
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
4.08	1.15507642014e-32	4.35213862191e-34	1.19859780635e-32
4.1	4.5563205935e-33	1.70019279813e-34	4.72633987331e-33
4.12	1.78820513429e-33	6.60856779918e-35	1.85429081228e-33
4.14	6.98266076207e-34	2.55582482671e-35	7.23824324474e-34
4.16	2.71285206699e-34	9.83490560063e-36	2.81120112299e-34
4.18	1.04865793911e-34	3.7655246258e-36	1.08631318537e-34
4.2	4.03315714832e-35	1.43449081177e-36	4.17660622949e-35
4.22	1.54333772729e-35	5.43735661923e-37	1.59771129348e-35
4.24	5.87600687992e-36	2.05067297854e-37	6.08107417778e-36
4.26	2.22592260336e-36	7.69527789967e-38	2.30287538236e-36
4.28	8.38967616363e-37	2.87324242381e-38	8.67700040601e-37
4.3	3.14621668029e-37	1.06743401799e-38	3.25296008209e-37
4.32	1.17392745701e-37	3.94576620776e-39	1.21338511908e-37
4.34	4.35816816995e-38	1.45125565238e-39	4.50329373519e-38
4.36	1.60982134567e-38	5.31103886131e-40	1.66293173428e-38
4.38	5.91647753653e-39	1.93392095443e-40	6.10986963197e-39
4.4	2.16352269316e-39	7.0068422461e-41	2.23359111562e-39
4.42	7.87178511328e-40	2.52598651629e-41	8.12438376491e-40
4.44	2.84970154168e-40	9.06077740727e-42	2.94030931575e-40
4.46	1.02645689647e-40	3.23389793481e-42	1.05879587582e-40
4.48	3.67873121834e-41	1.14845565645e-42	3.79357678399e-41
4.5	1.31181380749e-41	4.05816666888e-43	1.35239547417e-41
4.52	4.65440235453e-42	1.42683547243e-43	4.79708590177e-42
4.54	1.64313789439e-42	4.99168212254e-44	1.69305471562e-42
4.56	5.77169306188e-43	1.73759907493e-44	5.94545296937e-43
4.58	2.01721563761e-43	6.01841988873e-45	2.0773998365e-43
4.6	7.01490919232e-44	2.0741791032e-45	7.22232710264e-44
4.62	2.42724236966e-44	7.11281465873e-46	2.49837051625e-44
4.64	8.35653669991e-45	2.42699450818e-46	8.59923615073e-45
4.66	2.86261083329e-45	8.24002914159e-47	2.9450111247e-45
4.68	9.75712363529e-46	2.78369683795e-47	1.00354933191e-45
4.7	3.30906665297e-46	9.35726510382e-48	3.40263930401e-46
4.72	1.11664241351e-46	3.1297547579e-48	1.14793996109e-46
4.74	3.74928367989e-47	1.04161354917e-48	3.8534450348e-47
4.76	1.25258939679e-47	3.44935921794e-49	1.28708298897e-47
4.78	4.16385953722e-48	1.13659637671e-49	4.27751917489e-48
4.8	1.3772442695e-48	3.72658206911e-50	1.41451009019e-48
4.82	4.53266984336e-49	1.21577225147e-50	4.65424706851e-49
4.84	1.4843148944e-49	3.94667537641e-51	1.52378164817e-49
4.86	4.83645866149e-50	1.27481965077e-51	4.96394062657e-50
4.88	1.56804676923e-50	4.09736612157e-52	1.60902043044e-50
4.9	5.05849418227e-51	1.31038823269e-52	5.18953300554e-51
4.92	1.62373373901e-51	4.16998881152e-53	1.66543362713e-51
4.94	5.18609288199e-52	1.32041359094e-53	5.31813424108e-52
4.96	1.64815583998e-52	4.16031069193e-54	1.6897589469e-52
4.98	5.21181927898e-53	1.30431567461e-54	5.34225084644e-53
5.0	1.63988763376e-53	4.06894024699e-55	1.68057703623e-53
#normalisation = 208.0
