# mass number (A) = 9
# number of protons (Z) = 4
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	n	p	tot
3.6	1.2932075808e-12	8.37444839285e-13	2.13065242009e-12
3.62	8.96253566571e-13	5.79999371048e-13	1.47625293762e-12
3.64	6.19813671573e-13	4.00835528459e-13	1.02064920003e-12
3.66	4.27719695427e-13	2.76421927617e-13	7.04141623045e-13
3.68	2.94527213833e-13	1.90215800575e-13	4.84743014408e-13
3.7	2.02376429057e-13	1.30613696306e-13	3.32990125363e-13
3.72	1.38759581146e-13	8.94950667413e-14	2.28254647887e-13
3.74	9.4936849192e-14	6.1189644364e-14	1.56126493556e-13
3.76	6.48150195679e-14	4.17470148462e-14	1.06562034414e-13
3.78	4.41555939347e-14	2.84211595919e-14	7.25767535266e-14
3.8	3.00168598312e-14	1.93075528549e-14	4.93244126861e-14
3.82	2.03617196121e-14	1.30882608975e-14	3.34499805097e-14
3.84	1.37826755091e-14	8.85331922404e-15	2.26359947332e-14
3.86	9.30942172152e-15	5.97585385804e-15	1.52852755796e-14
3.88	6.2745441559e-15	4.02497945903e-15	1.02995236149e-14
3.9	4.21999720172e-15	2.70518776329e-15	6.925184965e-15
3.92	2.83212785955e-15	1.81426780141e-15	4.64639566096e-15
3.94	1.8966380504e-15	1.21415963183e-15	3.11079768223e-15
3.96	1.26743929855e-15	8.1081315425e-16	2.0782524528e-15
3.98	8.45164369131e-16	5.40301984173e-16	1.3854663533e-15
4.0	5.6237587633e-16	3.59271938158e-16	9.21647814488e-16
4.02	3.73408214797e-16	2.38386229586e-16	6.11794444383e-16
4.04	2.47407534416e-16	1.57837552981e-16	4.05245087397e-16
4.06	1.63573906909e-16	1.04282393743e-16	2.67856300653e-16
4.08	1.07916379351e-16	6.87516761571e-17	1.76668055508e-16
4.1	7.10449345327e-17	4.52300849389e-17	1.16275019472e-16
4.12	4.66714678992e-17	2.96922763724e-17	7.63637442716e-17
4.14	3.05944441108e-17	1.94505428287e-17	5.00449869395e-17
4.16	2.00127425829e-17	1.27142942953e-17	3.27270368782e-17
4.18	1.30630250023e-17	8.29325947551e-18	2.13562844778e-17
4.2	8.50852307316e-18	5.3979749452e-18	1.39064980184e-17
4.22	5.5301644136e-18	3.5059784883e-18	9.0361429019e-18
4.24	3.58670376273e-18	2.27227324202e-18	5.85897700475e-18
4.26	2.32127576764e-18	1.46955192909e-18	3.79082769673e-18
4.28	1.49910443983e-18	9.48380345357e-19	2.44748478519e-18
4.3	9.66075622773e-19	6.10736006128e-19	1.5768116289e-18
4.32	6.2124741187e-19	3.92462370077e-19	1.01370978195e-18
4.34	3.9865062584e-19	2.51661152537e-19	6.50311778377e-19
4.36	2.55267102113e-19	1.61030500868e-19	4.16297602982e-19
4.38	1.63106750492e-19	1.02819159694e-19	2.65925910186e-19
4.4	1.0399773001e-19	6.55109714012e-20	1.69508701412e-19
4.42	6.61684203732e-20	4.16512699731e-20	1.07819690346e-19
4.44	4.20100114959e-20	2.64251104652e-20	6.84351219611e-20
4.46	2.66152225696e-20	1.67293806855e-20	4.33446032551e-20
4.48	1.68260747134e-20	1.05686018542e-20	2.73946765676e-20
4.5	1.06147817968e-20	6.66238862881e-21	1.72771704256e-20
4.52	6.68213142547e-21	4.19099620916e-21	1.08731276346e-20
4.54	4.19753933603e-21	2.63075001838e-21	6.82828935441e-21
4.56	2.63117957436e-21	1.64784755013e-21	4.27902712449e-21
4.58	1.64581982082e-21	1.02998224498e-21	2.6758020658e-21
4.6	1.02728347623e-21	6.42418188291e-22	1.66970166452e-21
4.62	6.39844823461e-22	3.99835565691e-22	1.03968038915e-21
4.64	3.97681593113e-22	2.48325112472e-22	6.46006705585e-22
4.66	2.46645340748e-22	1.53898930865e-22	4.00544271613e-22
4.68	1.52646574431e-22	9.51757758656e-23	2.47822350296e-22
4.7	9.42709867839e-23	5.87344932693e-23	1.53005480053e-22
4.72	5.80959701441e-23	3.61689681372e-23	9.42649382813e-23
4.74	3.57265474141e-23	2.22256882144e-23	5.79522356285e-23
4.76	2.19236717695e-23	1.36285808463e-23	3.55522526157e-23
4.78	1.34249554928e-23	8.33916335714e-24	2.17641188499e-23
4.8	8.20332378573e-24	5.09179449633e-24	1.32951182821e-23
4.82	5.00200823692e-24	3.10238649504e-24	8.10439473196e-24
4.84	3.04352318638e-24	1.88624321474e-24	4.92976640112e-24
4.86	1.84793461897e-24	1.14439602719e-24	2.99233064615e-24
4.88	1.11962986317e-24	6.92838414342e-25	1.81246827751e-24
4.9	6.76924666951e-25	4.18566674117e-25	1.09549134107e-24
4.92	4.08398660046e-25	2.52333265919e-25	6.60731925964e-25
4.94	2.45870534808e-25	1.51796460538e-25	3.97666995346e-25
4.96	1.47709006676e-25	9.11226113369e-26	2.38831618013e-25
4.98	8.85494540334e-26	5.45843500813e-26	1.43133804115e-25
5.0	5.29716279021e-26	3.26277933852e-26	8.55994212873e-26
#normalisation = 9.0
