# p= (p1- p2)/2 
# f(p) = \sqrt(2/pi) \int dr r^2 j_2 (k*r) f(r)
# p 	 cluster 	 pieper 	 GFMC
4.02 	-0.00237368 	-0.0030365 	-0.00227736
4.04 	-0.00233023 	-0.00296833 	-0.00223205
4.06 	-0.00228768 	-0.00290078 	-0.00218917
4.08 	-0.00224598 	-0.0028339 	-0.00214864
4.1 	-0.00220512 	-0.00276773 	-0.00211035
4.12 	-0.00216506 	-0.00270232 	-0.0020742
4.14 	-0.00212579 	-0.00263771 	-0.00204009
4.16 	-0.00208728 	-0.00257396 	-0.00200793
4.18 	-0.0020495 	-0.00251111 	-0.00197761
4.2 	-0.00201244 	-0.0024492 	-0.00194903
4.22 	-0.00197606 	-0.00238828 	-0.00192208
4.24 	-0.00194036 	-0.00232838 	-0.00189666
4.26 	-0.00190531 	-0.00226955 	-0.00187266
4.28 	-0.00187089 	-0.00221181 	-0.00184999
4.3 	-0.00183709 	-0.00215521 	-0.00182854
4.32 	-0.00180388 	-0.00209978 	-0.00180821
4.34 	-0.00177125 	-0.00204554 	-0.00178891
4.36 	-0.00173919 	-0.00199252 	-0.00177053
4.38 	-0.00170768 	-0.00194074 	-0.00175298
4.4 	-0.0016767 	-0.00189021 	-0.00173618
4.42 	-0.00164624 	-0.00184097 	-0.00172002
4.44 	-0.0016163 	-0.00179302 	-0.00170442
4.46 	-0.00158685 	-0.00174636 	-0.0016893
4.48 	-0.00155788 	-0.00170101 	-0.00167458
4.5 	-0.00152939 	-0.00165696 	-0.00166018
4.52 	-0.00150136 	-0.00161423 	-0.00164602
4.54 	-0.00147379 	-0.00157279 	-0.00163205
4.56 	-0.00144665 	-0.00153265 	-0.00161818
4.58 	-0.00141996 	-0.0014938 	-0.00160436
4.6 	-0.00139369 	-0.00145622 	-0.00159053
4.62 	-0.00136783 	-0.00141989 	-0.00157664
4.64 	-0.00134239 	-0.0013848 	-0.00156263
4.66 	-0.00131735 	-0.00135093 	-0.00154846
4.68 	-0.0012927 	-0.00131825 	-0.0015341
4.7 	-0.00126845 	-0.00128673 	-0.0015195
4.72 	-0.00124457 	-0.00125636 	-0.00150462
4.74 	-0.00122107 	-0.00122708 	-0.00148946
4.76 	-0.00119794 	-0.00119888 	-0.00147396
4.78 	-0.00117518 	-0.00117172 	-0.00145813
4.8 	-0.00115277 	-0.00114557 	-0.00144194
4.82 	-0.00113072 	-0.00112037 	-0.00142537
4.84 	-0.00110901 	-0.00109611 	-0.00140843
4.86 	-0.00108765 	-0.00107274 	-0.00139111
4.88 	-0.00106662 	-0.00105021 	-0.0013734
4.9 	-0.00104593 	-0.00102849 	-0.00135531
4.92 	-0.00102556 	-0.00100754 	-0.00133685
4.94 	-0.00100552 	-0.000987314 	-0.00131802
4.96 	-0.0009858 	-0.000967773 	-0.00129884
4.98 	-0.000966393 	-0.000948878 	-0.00127932
5 	-0.000947295 	-0.000930585 	-0.00125949
5.02 	-0.000928504 	-0.000912856 	-0.00123935
5.04 	-0.000910015 	-0.000895652 	-0.00121894
5.06 	-0.000891823 	-0.000878933 	-0.00119828
5.08 	-0.000873925 	-0.000862661 	-0.00117739
5.1 	-0.000856317 	-0.000846801 	-0.00115631
5.12 	-0.000838995 	-0.000831317 	-0.00113507
5.14 	-0.000821955 	-0.000816174 	-0.00111369
5.16 	-0.000805193 	-0.000801341 	-0.00109221
5.18 	-0.000788706 	-0.000786786 	-0.00107067
5.2 	-0.000772489 	-0.000772479 	-0.00104909
5.22 	-0.000756538 	-0.000758392 	-0.00102752
5.24 	-0.000740851 	-0.0007445 	-0.00100598
