# r= r1-r2
# r 	 cluster 	 pieper 	 GFMC 		 GD
3.34 	-0.0132229 	0 		-7.57565e-05 	-1.95962e-06
3.36 	-0.0129611 	0 		-6.88804e-05 	-1.58682e-06
3.38 	-0.0127045 	0 		-6.25928e-05 	-1.28238e-06
3.4 	-0.0124529 	0 		-5.68469e-05 	-1.03427e-06
3.42 	-0.0122063 	0 		-5.15991e-05 	-8.32504e-07
3.44 	-0.0119646 	0 		-4.68091e-05 	-6.68757e-07
3.46 	-0.0117277 	0 		-4.24397e-05 	-5.36144e-07
3.48 	-0.0114955 	0 		-3.84563e-05 	-4.28969e-07
3.5 	-0.0112679 	0 		-3.4827e-05 	-3.42533e-07
3.52 	-0.0110447 	0 		-3.15223e-05 	-2.72967e-07
3.54 	-0.010826 	0 		-2.8515e-05 	-2.17094e-07
3.56 	-0.0106117 	0 		-2.57799e-05 	-1.72313e-07
3.58 	-0.0104015 	0 		-2.32939e-05 	-1.36496e-07
3.6 	-0.0101956 	0 		-2.10357e-05 	-1.07908e-07
3.62 	-0.00999369 	0 		-1.89857e-05 	-8.51365e-08
3.64 	-0.0097958 	0 		-1.71257e-05 	-6.70365e-08
3.66 	-0.00960183 	0 		-1.54391e-05 	-5.2679e-08
3.68 	-0.0094117 	0 		-1.39107e-05 	-4.13139e-08
3.7 	-0.00922534 	0 		-1.25266e-05 	-3.23359e-08
3.72 	-0.00904266 	0 		-1.12737e-05 	-2.52584e-08
3.74 	-0.00886361 	0 		-1.01404e-05 	-1.96906e-08
3.76 	-0.00868809 	0 		-9.11581e-06 	-1.53194e-08
3.78 	-0.00851606 	0 		-8.19011e-06 	-1.18948e-08
3.8 	-0.00834743 	0 		-7.35424e-06 	-9.21726e-09
3.82 	-0.00818214 	0 		-6.59992e-06 	-7.12819e-09
3.84 	-0.00802012 	0 		-5.91961e-06 	-5.50159e-09
3.86 	-0.00786131 	0 		-5.30641e-06 	-4.23768e-09
3.88 	-0.00770565 	0 		-4.75403e-06 	-3.25761e-09
3.9 	-0.00755307 	0 		-4.25673e-06 	-2.49921e-09
3.92 	-0.00740351 	0 		-3.80928e-06 	-1.91354e-09
3.94 	-0.00725691 	0 		-3.40694e-06 	-1.46218e-09
3.96 	-0.00711321 	0 		-3.04536e-06 	-1.11506e-09
3.98 	-0.00697236 	0 		-2.72061e-06 	-8.48647e-10
4 	-0.0068343 	0 		-2.4291e-06 	-6.44594e-10
